normalised_zn,center_fit,radius_fit,bead_center_fit,bead_radius_fit
0.4034712152440221,[14.25624146 14.21194201 13.39318692],12.073807182518072,[13.6493047  13.11034477 16.17963077],5.167629631770759
0.5021435950393973,[14.3149867  15.07006958 12.12094293],12.422098839192095,[12.98429071 16.62500307 15.78115509],5.1329245841980775
0.2740049196603564,[15.13886765 15.21816359 13.04555166],12.771649557761766,[17.32598141 19.34973845 15.1868247 ],4.956924734332332
0.37118423476084855,[16.17869625 16.03432879 11.4279267 ],13.272454662922774,[20.87621052 15.3130164  14.49203159],5.0175111577571085
0.7251753878143106,[18.69578301 17.19530313 12.11236189],14.347799696933027,[24.25185372 19.03811214 18.84853717],5.058770607496909
0.6665399599405285,[15.51435443 14.5526609  13.17954297],11.315821358669382,[14.98160234 13.86717056 17.28343166],5.15881812656011
0.5519060393580952,[18.67087657 16.35239614 12.47487207],12.064110189426927,[17.69840511 17.47584813 16.35434163],5.034889124244105
0.4299841737979834,[16.97091405 15.32605286 13.11568469],12.185358112326767,[19.4303445  19.25758365 16.21953261],4.966841473161806
0.6720130138889708,[19.52701404 18.7664418  11.37611575],12.73804110995783,[23.77862197 17.91303261 16.4271647 ],5.221744775581876
0.9817091617477336,[18.70817843 18.81645677 10.0854811 ],12.704036769798993,[24.42847361 21.13297802 17.40646577],5.246650253262503
