normalised_zn,center_fit,radius_fit,bead_center_fit,bead_radius_fit
0.506480510887292,[12.32964931 12.71972632  0.95732401],9.50229415023464,[11.97907176 13.95079743  4.6696042 ],2.172732389761797
0.507392151221112,[12.33669606 12.72560314  0.93912461],9.510384419401518,[11.92831699 13.92639048  4.66381423],2.169534536249939
0.508330389821416,[12.34606896 12.74942387  0.93756814],9.522260897577512,[11.94632562 13.95554806  4.67232593],2.175153856481705
0.6366551004438712,[14.48289188 11.98852392 -0.39544531],9.912708487925498,[ 9.36963609 14.83258947  4.55978891],2.1294766940155068
-0.2701264002787476,[24.59288876 22.34760379  8.72062232],16.09130674717684,[20.10570699 26.20836583  4.94507531],2.1143425962414875
0.8631917547639241,[14.26461662 13.0124449  -1.85643973],8.98402910177824,[13.00713283 14.07870681  4.01549688],2.181442569985578
0.565512902979691,[18.0344954  17.48488136 -2.58051087],13.537669802988779,[26.59691944 15.23791229  3.90826315],2.0635301587727986
0.6972874103629783,[ 8.7125165  10.63662256  0.57397421],6.471369171659741,[ 6.41587941 10.01778505  3.55451574],2.1968885440877135
0.6126932277832919,[12.25096309 12.62538989 -2.91080571],9.999745616629175,[12.45467346 12.46846038  3.56494592],2.0314847638262967
0.7017606383097472,[12.48452058 14.12405426 -3.66494699],12.274054871632133,[11.70269872 10.53682991  4.45815827],2.142470857648709
0.7263813736568869,[13.29910947 13.58268778 -3.17998898],11.833330976312531,[12.50732471 10.67138766  3.77669176],2.2561570571785534
0.8712156920477429,[11.78735198 10.7130498  -2.59686674],9.644012634147368,[11.83271659 10.28077946  3.59851233],2.0068587545894925
0.8604185040048594,[11.71458056 11.74797694 -2.48011451],9.69228480225888,[12.02309949 10.49341585  4.17407583],1.958617620518038
0.5842630537050612,[8.64771616 8.53129483 2.95197204],5.744711546470288,[7.15714699 7.34143743 5.74941554],2.1777406336232388
0.8291926849651562,[ 1.07260640e+01  1.07897881e+01 -9.34484899e-03],8.68321849116629,[11.64059358 11.16144688  5.34348096],2.2277517364018564
0.8472584969665433,[11.71762542 11.7768109  -2.07835659],10.15584500004053,[ 8.09674956 10.93622061  4.59953598],2.274079756537374
0.8306552915393157,[11.75547007 11.78458055 -2.01039126],10.13113299090645,[ 7.9767889  11.00581258  4.5719657 ],2.2068387346141414
0.8306552915393157,[11.75547007 11.78458055 -2.01039126],10.13113299090645,[ 7.9767889  11.00581258  4.5719657 ],2.2068387346141414
0.2135335719532667,[12.51237287 11.20060972  4.16817315],8.81175535321496,[10.19196722  7.27340339  5.61699022],2.0267937934753504
0.9659750737790438,[9.21030128 9.31882399 1.42356601],6.171357311569491,[8.53433193 8.48108104 5.06919702],2.397314787953349
0.9028639372358813,[9.79779576 8.17129428 1.42921686],6.403430214480905,[8.97081638 9.2192641  5.16064133],2.2705544594300533
0.046963497452754015,[11.88961085 12.66605191  5.15552008],9.11182325977949,[11.49324541 11.16118668  5.47931955],2.217118136756395
0.8243433626500387,[ 9.85617954 10.86060854 -0.17631381],8.469849428966004,[ 8.58596104 10.4511491   4.9672065 ],2.2303131568855026
0.9098544340699365,[10.74664002 11.33487899  0.10909068],8.191163145565884,[11.6903009   9.133732    5.34715523],2.434127346445734
