normalised_zn,center_fit,radius_fit,bead_center_fit,bead_radius_fit
-0.5490405444914377,[14.13960364 13.35990828  8.77421755],11.644527732713605,[16.33756649 10.38982805  4.22837302],3.3649123523393056
-0.965295491578761,[15.94044794 15.92621913 19.95046282],16.253007915124773,[15.62362284 14.53239308  7.50829016],3.3635116198806325
-0.7726995206745249,[16.3126975  17.94081024 16.34635256],16.28996302451101,[20.24032567 24.40685349  6.0197258 ],2.925613126977855
-0.8421879164911207,[16.81368501 16.38322714 15.20979982],14.77261556852884,[17.23607654 18.51216231  5.55852202],3.3128479674867854
-0.4846479032816913,[8.7042142  9.2002577  7.58887861],7.431652988835403,[10.66030718 11.55472937  5.63327766],3.3965567186404133
-0.4846479032816913,[8.7042142  9.2002577  7.58887861],7.431652988835403,[10.66030718 11.55472937  5.63327766],3.3965567186404133
-0.8465641364783963,[11.71143968 13.69094157 12.35174729],11.952826032502406,[11.60710355 15.77288279  4.87099367],3.116220153681827
-0.4101464311730077,[12.44481859 10.65949614  6.38815639],8.617577599494831,[11.84526696 10.61371084  4.2597651 ],3.428232693463103
-0.6454743681384018,[11.60861795 12.41233501  9.93063895],10.877479501027556,[11.43526825 14.44581306  4.9478154 ],3.1578491092085863
-0.113162,[],8.512512444361626,[],3.1234933572818826
0.0507901,[],7.782328867860153,[],2.827738384598298
0.12897,[],10.66411197364424,[],3.0562999492605134
0.150793,[],8.507648573501175,[],3.0258987067346315
0.8242123432345654,[],12.2345546599372,[],3.18745673
0.72328434593,[],10.232234383882934,[],2.8377292093
0.921983475,[],7.2987652,[],3.45658472
-0.7736007087058535,[17.49486913 15.51136286 13.147285  ],14.082435785271434,[15.55966797 13.08430664  4.90327239],3.425759137534968
-0.43261722295672916,[ 9.03174876 10.5116242   8.40080063],9.148077237542516,[ 7.74737902 13.15480163  5.9313732 ],3.4399655389633006
-0.5769074157345304,[14.06353419 10.696204    7.28695551],9.014000309096238,[13.45244616 10.62089188  4.06992664],3.4376655513177696
-0.6983212738694258,[14.01340491 13.45072596 10.0217091 ],10.53274504716002,[12.11257263 12.77528194  4.885589  ],3.1777921235457285
-0.661444469164242,[17.73034054 14.61370768 11.463643  ],13.091209865207313,[14.94400258  9.77151635  5.10348968],3.4756584169317666
-0.5951048012231568,[12.24590529 11.70950717 10.47583246],10.277544667695013,[10.99437335 13.64262614  6.35163385],3.3473390955712263
-0.6113597278804455,[12.27315928 11.70796026 10.5075971 ],10.298526819300811,[11.11237819 13.60923645  6.2561508 ],3.344443813653304
-0.43622750180274666,[13.48456739 16.23252124  8.60842924],10.431449619713101,[10.67690887 17.36939292  5.38480154],3.0416640439069806
0.302212549833,[],10.233254322123,[],3.21233454322443
0.314593920022,[],9.98739392922,[],2.567432345678543
0.2103900203494393,[],11.155445432243875,[],3.5287653929872
0.34857,[],8.29387652561,[],3.2876145678
0.27929,[],11.12876545623,[],3.699876567890222
0.2345903,[],13.1234987632,[],3.87652567892
