normalised_zn,center_fit,radius_fit,bead_center_fit,bead_radius_fit
-0.3071364268400482
-0.561691941799959
-0.8237799327683745,[13.19064158 16.42297665 14.34108887],12.339416045635412,[16.47607536 16.14013835  8.10423716],4.76839924915842
-0.6232131034811293,[20.90528247 19.18673825 14.72184559],13.133496571232588,[24.92750681 18.46172269  9.72928981],5.122503609995822
-0.6232131034811293,[20.90528247 19.18673825 14.72184559],13.133496571232588,[24.92750681 18.46172269  9.72928981],5.122503609995822
-0.7969221154954383,[20.97750905 16.66958616 20.18895032],16.250043920566295,[19.67702713 14.4174703  11.9735661 ],5.9411516659225585
-0.775162750556942,[20.54351291 21.77499138 16.5869912 ],16.998566232197184,[20.34821378 21.00087558  7.81799037],5.686102082352163
